country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,top2_label,top2_weight,top3_label,top3_weight
RW,L2,W1,L2_W1,0.18648471380327597,8,7,0.05146100920444944,ET:WIND,0.41444698276623204,Africa/MENA,ZM:PV,0.19528085717828275,KE:WIND,0.1866600648582294
RW,L2,W2,L2_W2,0.15234495368963472,8,7,0.12848558371797095,ET:WIND,0.40287702705381906,Africa/MENA,ZM:PV,0.1934710440657561,KE:WIND,0.183461450858942
RW,L2,W3,L2_W3,0.12579378187131893,8,7,0.1892174109134109,ET:WIND,0.39596950052903673,Africa/MENA,ZM:PV,0.18805609915432137,KE:WIND,0.17412944662828997
RW,L3,W0,L3_W0,0.06611557135324748,461,103,0.0,EG:PV,0.08178005120000824,Africa/MENA,BO:PV,0.07200931394166922,MU:PV,0.0521324904128206
RW,L3,W1,L3_W1,0.04910855158247944,461,101,0.04217540490468085,EG:PV,0.07720170551675355,Africa/MENA,BO:PV,0.07014564114592153,CL:PV,0.05591546274326733
RW,L3,W2,L3_W2,0.040830103258409564,461,104,0.06421973040840934,EG:PV,0.06880501344780039,Africa/MENA,BO:PV,0.06129663669656271,CL:PV,0.05702341372954754
RW,L3,W3,L3_W3,0.0400999261323287,461,104,0.0661155713532475,EG:PV,0.06678434380515409,Africa/MENA,BO:PV,0.05972495545444296,CL:PV,0.05638146026428931
SA,L0,W0,L0_W0,0.5791465131461461,1,1,0.0,SA:PV,1.0,Asia-Pacific,,,,
SA,L0,W1,L0_W1,0.5551874530691238,1,1,0.06329168575693558,SA:PV,1.0000000000000002,Asia-Pacific,,,,
SA,L0,W2,L0_W2,0.4994612361790576,1,1,0.18648598886238207,SA:PV,1.0000000000000002,Asia-Pacific,,,,
SA,L0,W3,L0_W3,0.3889781711906373,1,1,0.36295879111615303,SA:PV,1.0,Asia-Pacific,,,,
SA,L1,W0,L1_W0,0.24072262953893941,14,5,0.0,EG:WIND,0.5401223941920944,Asia-Pacific,TR:WIND,0.1766641010187587,EG:PV,0.13472147916694036
