country,region,continent,tau_ms,phi,reach_km,uncovered_share,uncovered_share_baseline,migrated_share
NE,Africa/MENA,EurAfrMENA,150,0.6,6714,0.37206707806936035,0.5304463362936619,0.31626240310657405
NE,Africa/MENA,EurAfrMENA,150,0.8,6714,0.31288515737380035,0.5304463362936619,0.40274367066140315
NE,Africa/MENA,EurAfrMENA,150,1.0,6714,0.2553076351679325,0.5304463362936619,0.4791822401328483
NE,Africa/MENA,EurAfrMENA,200,0.0,10286,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,200,0.2,10286,0.48035818884036113,0.5304463362936619,0.11919728818111965
NE,Africa/MENA,EurAfrMENA,200,0.4,10286,0.4233736836789242,0.5304463362936619,0.23083347647307195
NE,Africa/MENA,EurAfrMENA,200,0.6,10286,0.3601661771285332,0.5304463362936619,0.33448661484215714
NE,Africa/MENA,EurAfrMENA,200,0.8,10286,0.2920251612580028,0.5304463362936619,0.43113812926163736
NE,Africa/MENA,EurAfrMENA,200,1.0,10286,0.22378215874115542,0.5304463362936619,0.5186714023088195
NE,Africa/MENA,EurAfrMENA,300,0.0,17429,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,300,0.2,17429,0.48009726687346244,0.5304463362936619,0.11976072116528974
NE,Africa/MENA,EurAfrMENA,300,0.4,17429,0.4222415521694964,0.5304463362936619,0.2328541822194097
NE,Africa/MENA,EurAfrMENA,300,0.6,17429,0.35737942759575525,0.5304463362936619,0.3386869988422676
NE,Africa/MENA,EurAfrMENA,300,0.8,17429,0.2865389338600372,0.5304463362936619,0.43843692561974945
NE,Africa/MENA,EurAfrMENA,300,1.0,17429,0.21415940368121714,0.5304463362936619,0.5303731146363767
NE,Africa/MENA,EurAfrMENA,500,0.0,31714,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,500,0.2,31714,0.48009726687346244,0.5304463362936619,0.11976072116528974
NE,Africa/MENA,EurAfrMENA,500,0.4,31714,0.4222415521694964,0.5304463362936619,0.2328541822194097
NE,Africa/MENA,EurAfrMENA,500,0.6,31714,0.35737942759575525,0.5304463362936619,0.3386869988422676
NE,Africa/MENA,EurAfrMENA,500,0.8,31714,0.2865389338600372,0.5304463362936619,0.43843692561974945
NE,Africa/MENA,EurAfrMENA,500,1.0,31714,0.21415940368121714,0.5304463362936619,0.5303731146363767
NG,Africa/MENA,EurAfrMENA,50,0.0,0,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,50,0.2,0,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,50,0.4,0,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,50,0.6,0,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,50,0.8,0,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,50,1.0,0,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,100,0.0,3143,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,100,0.2,3143,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,100,0.4,3143,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,100,0.6,3143,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,100,0.8,3143,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,100,1.0,3143,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,150,0.0,6714,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,150,0.2,6714,0.4315997844076678,0.4804001783024549,0.10588234865208894
NG,Africa/MENA,EurAfrMENA,150,0.4,6714,0.38202008525001213,0.4804001783024549,0.19731247860127196
NG,Africa/MENA,EurAfrMENA,150,0.6,6714,0.3343307912601278,0.4804001783024549,0.27394440349260013
NG,Africa/MENA,EurAfrMENA,150,0.8,6714,0.28919181377134495,0.4804001783024549,0.338115478841804
NG,Africa/MENA,EurAfrMENA,150,1.0,6714,0.24845543626390448,0.4804001783024549,0.39047897628087713
NG,Africa/MENA,EurAfrMENA,200,0.0,10286,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,200,0.2,10286,0.42890420567205345,0.4804001783024549,0.11123178309258713
NG,Africa/MENA,EurAfrMENA,200,0.4,10286,0.3722516495166508,0.4804001783024549,0.21380458977727143
NG,Africa/MENA,EurAfrMENA,200,0.6,10286,0.3125614890433227,0.4804001783024549,0.3057975783743765
NG,Africa/MENA,EurAfrMENA,200,0.8,10286,0.25213379063262226,0.4804001783024549,0.38590469089407575
NG,Africa/MENA,EurAfrMENA,200,1.0,10286,0.19566792494505866,0.4804001783024549,0.4524573046155285
NG,Africa/MENA,EurAfrMENA,300,0.0,17429,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,300,0.2,17429,0.4284396658540131,0.4804001783024549,0.11214844684468589
NG,Africa/MENA,EurAfrMENA,300,0.4,17429,0.37023958511143423,0.4804001783024549,0.21715125682350048
NG,Africa/MENA,EurAfrMENA,300,0.6,17429,0.3068215515719203,0.4804001783024549,0.31390739198922185
NG,Africa/MENA,EurAfrMENA,300,0.8,17429,0.23879960694553184,0.4804001783024549,0.40227775473261973
NG,Africa/MENA,EurAfrMENA,300,1.0,17429,0.17185375452559548,0.4804001783024549,0.4790975074050442
NG,Africa/MENA,EurAfrMENA,500,0.0,31714,0.4804001783024549,0.4804001783024549,0.0
NG,Africa/MENA,EurAfrMENA,500,0.2,31714,0.4284396658540131,0.4804001783024549,0.11214844684468589
NG,Africa/MENA,EurAfrMENA,500,0.4,31714,0.37023958511143423,0.4804001783024549,0.21715125682350048
NG,Africa/MENA,EurAfrMENA,500,0.6,31714,0.3068215515719203,0.4804001783024549,0.31390739198922185
NG,Africa/MENA,EurAfrMENA,500,0.8,31714,0.23879960694553184,0.4804001783024549,0.40227775473261973
NG,Africa/MENA,EurAfrMENA,500,1.0,31714,0.17185375452559548,0.4804001783024549,0.4790975074050442
NI,North America,Americas,50,0.0,0,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,50,0.2,0,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,50,0.4,0,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,50,0.6,0,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,50,0.8,0,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,50,1.0,0,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,100,0.0,3143,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,100,0.2,3143,0.4656533027294422,0.4831369115293907,0.03894232837656437
NI,North America,Americas,100,0.4,3143,0.4548291388169989,0.4831369115293907,0.061760508613238056
NI,North America,Americas,100,0.6,3143,0.44711386889947374,0.4831369115293907,0.07747002726277782
NI,North America,Americas,100,0.8,3143,0.44097476761838755,0.4831369115293907,0.08966665432248702
NI,North America,Americas,100,1.0,3143,0.43593527878589083,0.4831369115293907,0.09948013641923804
NI,North America,Americas,150,0.0,6714,0.4831369115293907,0.4831369115293907,0.0
NI,North America,Americas,150,0.2,6714,0.4506887415840705,0.4831369115293907,0.07024455271015703
NI,North America,Americas,150,0.4,6714,0.42525826140663103,0.4831369115293907,0.11972828826044932
NI,North America,Americas,150,0.6,6714,0.40516125242918205,0.4831369115293907,0.15597376595649734
