country,region,continent,dist_ring,dist_km,grace_h,phi,uncovered_share,uncovered_share_baseline,uncovered_share_temporal_only,migrated_share,deferred_share
CL,Latin America,Americas,D2,3000.0,1,0.4,0.2807058242345832,0.29787078298388703,0.2807058242345832,0.0,0.03313129805301253
CL,Latin America,Americas,D3,,1,0.4,0.18751901840037394,0.29787078298388703,0.2807058242345832,0.2097015746308007,0.03313129805301253
CL,Latin America,Americas,D0,0.0,3,0.4,0.2641578977138575,0.29787078298388703,0.2641578977138575,0.0,0.07579619431902027
CL,Latin America,Americas,D1,500.0,3,0.4,0.2641578977138575,0.29787078298388703,0.2641578977138575,0.0,0.07579619431902027
CL,Latin America,Americas,D2,3000.0,3,0.4,0.2641578977138575,0.29787078298388703,0.2641578977138575,0.0,0.07579619431902027
CL,Latin America,Americas,D3,,3,0.4,0.1803301695194483,0.29787078298388703,0.2641578977138575,0.19064229056836188,0.07579619431902027
CL,Latin America,Americas,D0,0.0,6,0.4,0.2564339117137846,0.29787078298388703,0.2564339117137846,0.0,0.10606100881523288
CL,Latin America,Americas,D1,500.0,6,0.4,0.2564339117137846,0.29787078298388703,0.2564339117137846,0.0,0.10606100881523288
CL,Latin America,Americas,D2,3000.0,6,0.4,0.2564339117137846,0.29787078298388703,0.2564339117137846,0.0,0.10606100881523288
CL,Latin America,Americas,D3,,6,0.4,0.17351730972697868,0.29787078298388703,0.2564339117137846,0.18278276752137432,0.10606100881523288
CL,Latin America,Americas,D0,0.0,12,0.4,0.23446102252646128,0.29787078298388703,0.23446102252646128,0.0,0.12358054589880133
CL,Latin America,Americas,D1,500.0,12,0.4,0.23446102252646128,0.29787078298388703,0.23446102252646128,0.0,0.12358054589880133
CL,Latin America,Americas,D2,3000.0,12,0.4,0.23446102252646128,0.29787078298388703,0.23446102252646128,0.0,0.12358054589880133
CL,Latin America,Americas,D3,,12,0.4,0.1475493518991102,0.29787078298388703,0.23446102252646128,0.1754031620216211,0.12358054589880133
CL,Latin America,Americas,D0,0.0,24,0.4,0.21241992671455193,0.29787078298388703,0.21241992671455193,0.0,0.10135508962143541
CL,Latin America,Americas,D1,500.0,24,0.4,0.21241992671455193,0.29787078298388703,0.21241992671455193,0.0,0.10135508962143541
CL,Latin America,Americas,D2,3000.0,24,0.4,0.21241992671455193,0.29787078298388703,0.21241992671455193,0.0,0.10135508962143541
CL,Latin America,Americas,D3,,24,0.4,0.13795862119323724,0.29787078298388703,0.21241992671455193,0.15871022544676722,0.10135508962143541
CL,Latin America,Americas,D0,0.0,168,0.4,0.18013483950855966,0.29787078298388703,0.18013483950855966,0.0,0.1333352502595473
CL,Latin America,Americas,D1,500.0,168,0.4,0.18013483950855966,0.29787078298388703,0.18013483950855966,0.0,0.1333352502595473
CL,Latin America,Americas,D2,3000.0,168,0.4,0.18013483950855966,0.29787078298388703,0.18013483950855966,0.0,0.1333352502595473
CL,Latin America,Americas,D3,,168,0.4,0.12025319136630286,0.29787078298388703,0.18013483950855966,0.13248215727399137,0.1333352502595473
CN,Asia-Pacific,Asia,D0,0.0,0,0.4,0.11943467542819217,0.11943467542819217,0.11943467542819217,0.0,0.0
CN,Asia-Pacific,Asia,D1,500.0,0,0.4,0.11943467542819217,0.11943467542819217,0.11943467542819217,0.0,0.0
CN,Asia-Pacific,Asia,D2,3000.0,0,0.4,0.10309485499838489,0.11943467542819217,0.11943467542819217,0.0425859383704662,0.0
CN,Asia-Pacific,Asia,D3,,0,0.4,0.0716912289410308,0.11943467542819217,0.11943467542819217,0.11906452484412004,0.0
CN,Asia-Pacific,Asia,D0,0.0,1,0.4,0.10759335628938319,0.11943467542819217,0.10759335628938319,0.0,0.018272502222287827
CN,Asia-Pacific,Asia,D1,500.0,1,0.4,0.10759335628938319,0.11943467542819217,0.10759335628938319,0.0,0.018272502222287827
