country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,top2_label,top2_weight,region,continent,top3_label,top3_weight
RU,L3,W2,L3_W2,0.10210333479128056,210,41,0.1317720090530255,MX:PV,0.13738695605742496,CV:PV,0.06512280599158284,Europe,EurAfrMENA,PK:PV,0.05060068205611308
RU,L3,W3,L3_W3,0.10052553555846183,210,40,0.1370089399937034,MX:PV,0.1291443912115428,CV:PV,0.06982133393027568,Europe,EurAfrMENA,PK:PV,0.051593579186356195
RW,L0,W0,L0_W0,0.350064180199742,2,2,0.0,RW:PV,0.6909844917397847,RW:WIND,0.3090155082602101,Africa/MENA,EurAfrMENA,,
RW,L0,W1,L0_W1,0.32669065758279775,2,2,0.053131036981788685,RW:PV,0.6980873007871038,RW:WIND,0.30191269921289104,Africa/MENA,EurAfrMENA,,
RW,L0,W2,L0_W2,0.28057804063573527,2,2,0.1483241716134682,RW:PV,0.7124970514367196,RW:WIND,0.28750294856327535,Africa/MENA,EurAfrMENA,,
RW,L0,W3,L0_W3,0.21669416313074388,2,2,0.2640975810478475,RW:PV,0.7301788207281089,RW:WIND,0.26982117927188626,Africa/MENA,EurAfrMENA,,
RW,L1,W0,L1_W0,0.12384863354422256,42,16,0.0,CV:PV,0.21336375511219083,MU:PV,0.16047698849148587,Africa/MENA,EurAfrMENA,ET:WIND,0.11767913911188504
RW,L1,W1,L1_W1,0.1030439548427981,42,16,0.049529105215595004,CV:PV,0.21876337185862002,MU:PV,0.16618155475720894,Africa/MENA,EurAfrMENA,ET:WIND,0.11744293431630665
RW,L1,W2,L1_W2,0.08051223500315106,42,16,0.10454628613271173,CV:PV,0.23424798086877396,MU:PV,0.18553788433217064,Africa/MENA,EurAfrMENA,ET:WIND,0.11406063164317878
RW,L1,W3,L1_W3,0.07288940204218375,42,16,0.12309297458720332,CV:PV,0.24388419006127976,MU:PV,0.200382203625386,Africa/MENA,EurAfrMENA,ET:WIND,0.11433566261024325
RW,L2,W0,L2_W0,0.12050585059205178,94,32,0.0,CV:PV,0.19456702129335304,MU:PV,0.14736503303179985,Africa/MENA,EurAfrMENA,ET:WIND,0.09917336170621573
RW,L2,W1,L2_W1,0.09980904644068235,94,32,0.050431366473374456,CV:PV,0.20133673949803627,MU:PV,0.1547622692461566,Africa/MENA,EurAfrMENA,ET:WIND,0.09948070207980014
RW,L2,W2,L2_W2,0.07843201056565341,94,30,0.10382961871352138,CV:PV,0.21884095528676573,MU:PV,0.17709421079160753,Africa/MENA,EurAfrMENA,ET:WIND,0.09842918183615965
RW,L2,W3,L2_W3,0.07164148484222455,94,30,0.12012113357170097,CV:PV,0.22838578369523588,MU:PV,0.1923718268503689,Africa/MENA,EurAfrMENA,ET:WIND,0.10003586489466552
RW,L3,W0,L3_W0,0.06659732013311132,210,68,0.0,CL:PV,0.1574649815336186,IN:PV,0.08294309537572613,Africa/MENA,EurAfrMENA,ET:PV,0.06706042278295776
RW,L3,W1,L3_W1,0.04957694343784984,210,68,0.04256664776059521,CL:PV,0.1651345661829995,IN:PV,0.08597393000898305,Africa/MENA,EurAfrMENA,ET:PV,0.06239237106315178
RW,L3,W2,L3_W2,0.04154350664285618,210,67,0.06464062355280863,CL:PV,0.17056901860209078,IN:PV,0.08978228656833971,Africa/MENA,EurAfrMENA,ET:PV,0.06937270509868292
RW,L3,W3,L3_W3,0.040885383867166024,210,67,0.06659732013311132,CL:PV,0.17057965404820796,IN:PV,0.08868532341821886,Africa/MENA,EurAfrMENA,ET:PV,0.06877703247412198
SA,L0,W0,L0_W0,0.26596456025448223,2,2,0.0,SA:WIND,0.6712804389312758,SA:PV,0.3287195610687184,Asia-Pacific,Asia,,
SA,L0,W1,L0_W1,0.24207498181709924,2,2,0.0499370887355813,SA:WIND,0.6705749735455452,SA:PV,0.32942502645444893,Asia-Pacific,Asia,,
SA,L0,W2,L0_W2,0.2019755516288184,2,2,0.13225455056986446,SA:WIND,0.6673187497190675,SA:PV,0.332681250280927,Asia-Pacific,Asia,,
SA,L0,W3,L0_W3,0.16101198107861367,2,2,0.21744788787759967,SA:WIND,0.6615803859846994,SA:PV,0.3384196140152951,Asia-Pacific,Asia,,
SA,L1,W0,L1_W0,0.12253186486100467,60,26,0.0,CN:WIND,0.36999052844502467,PH:WIND,0.09124148622073529,Asia-Pacific,Asia,OM:WIND,0.0749014208868285
SA,L1,W1,L1_W1,0.10179029820505116,60,26,0.05150153804474892,CN:WIND,0.3700481587625128,PH:WIND,0.09159550675560303,Asia-Pacific,Asia,OM:WIND,0.07501819579778345
SA,L1,W2,L1_W2,0.08041692009401993,60,26,0.10883569639020477,CN:WIND,0.37226218381899273,PH:WIND,0.08947116429253586,Asia-Pacific,Asia,OM:WIND,0.07475846441157755
SA,L1,W3,L1_W3,0.07567605772440596,60,26,0.12242054888391572,CN:WIND,0.37127429590215155,PH:WIND,0.09201100136308053,Asia-Pacific,Asia,OM:WIND,0.07562713284014232
SA,L2,W0,L2_W0,0.12253186486100467,60,26,0.0,CN:WIND,0.36999052844502467,PH:WIND,0.09124148622073529,Asia-Pacific,Asia,OM:WIND,0.0749014208868285
SA,L2,W1,L2_W1,0.10179029820505116,60,26,0.05150153804474892,CN:WIND,0.3700481587625128,PH:WIND,0.09159550675560303,Asia-Pacific,Asia,OM:WIND,0.07501819579778345
SA,L2,W2,L2_W2,0.08041692009401993,60,26,0.10883569639020477,CN:WIND,0.37226218381899273,PH:WIND,0.08947116429253586,Asia-Pacific,Asia,OM:WIND,0.07475846441157755
SA,L2,W3,L2_W3,0.07567605772440596,60,26,0.12242054888391572,CN:WIND,0.37127429590215155,PH:WIND,0.09201100136308053,Asia-Pacific,Asia,OM:WIND,0.07562713284014232
SA,L3,W0,L3_W0,0.06724855712573813,210,72,0.0,MX:PV,0.12210500442776234,CL:PV,0.059702763205384785,Asia-Pacific,Asia,CN:WIND,0.055146781507857345
SA,L3,W1,L3_W1,0.05155546877805337,210,71,0.04388613943445899,MX:PV,0.1253131015011184,CN:WIND,0.05778272213162732,Asia-Pacific,Asia,CL:PV,0.056008232371126974
SA,L3,W2,L3_W2,0.043944806707417405,210,66,0.06512501260907264,MX:PV,0.13009226019810896,CN:WIND,0.06032943890942485,Asia-Pacific,Asia,CL:PV,0.050235338646243674
