parameter,variant,country,corner,uncovered_pct,lcoe_elec,lcoe_gen,lcoe_store,lcoe_anc
P3_gamma,stylized_3.0,GR,global,15.015913046385407,126.57775731242714,87.93795630409488,35.33980100833225,3.3000000000000043
P3_gamma,stylized_3.0,GT,national,38.10942386149315,131.85700286449682,85.19968710379408,43.357315760702726,3.3000000000000016
P3_gamma,stylized_3.0,GT,global,13.94739126189215,117.54636346950006,83.52737472499784,30.71898874450222,3.300000000000002
P3_gamma,stylized_3.0,HN,national,34.30872971644996,110.03859206693782,61.0236979053458,45.714894161592035,3.299999999999993
P3_gamma,stylized_3.0,HN,global,14.260280427079595,97.48568969494958,61.4426960567031,32.74299363824648,3.299999999999993
P3_gamma,stylized_3.0,HU,national,34.81381699567911,144.03857005525518,91.85366325277036,48.884906802484814,3.3000000000000065
P3_gamma,stylized_3.0,HU,global,16.013330202457286,131.18596889166247,91.85482754549687,36.03114134616559,3.3000000000000065
P3_gamma,stylized_3.0,ID,national,40.712133175953454,171.90933118399442,123.06095969212616,45.54837149186828,3.299999999999999
P3_gamma,stylized_3.0,ID,global,15.043813855145775,153.02440578953554,116.45519744411551,33.26920834542003,3.2999999999999985
P3_gamma,stylized_3.0,IE,national,30.03960186139127,115.5519418073643,47.55841146716637,64.69353034019795,3.2999999999999767
P3_gamma,stylized_3.0,IE,global,16.81999249986677,99.38218855712967,46.91382565696547,49.16836290016422,3.2999999999999767
P3_gamma,stylized_3.0,IL,national,43.86857347120676,163.3835584375765,113.88407220665205,46.19948623092444,3.2999999999999927
P3_gamma,stylized_3.0,IL,global,12.800611577490614,138.70347478304902,100.993408654904,34.41006612814501,3.2999999999999936
P3_gamma,stylized_3.0,IN,national,25.307082710941252,105.33605744451071,66.37146365417296,35.66459379033777,3.300000000000004
P3_gamma,stylized_3.0,IN,global,11.22260376617464,95.98532606165486,66.78115047984832,25.904175581806538,3.3000000000000025
P3_gamma,stylized_3.0,IR,national,44.244166132112554,161.4239612683575,65.48733599606503,92.63662527229243,3.299999999999994
P3_gamma,stylized_3.0,IR,global,22.287167693105665,147.90006798173712,65.70584916760717,78.89421881412996,3.2999999999999945
P3_gamma,stylized_3.0,IT,national,39.7264671675282,148.8942570629845,97.67740453867695,47.91685252430755,3.300000000000007
P3_gamma,stylized_3.0,IT,global,14.440469550666338,133.2666397268051,96.28683909091612,33.67980063588897,3.3000000000000065
P3_gamma,stylized_3.0,JM,national,43.75380178912331,136.25059445503177,86.82905198074039,46.12154247429139,3.3000000000000065
P3_gamma,stylized_3.0,JM,global,12.908360445163995,117.57390726337017,81.4609446698138,32.812962593556364,3.300000000000005
P3_gamma,stylized_3.0,JO,national,27.929820042412196,113.59681136831958,64.8261129872671,45.470698381052465,3.300000000000001
P3_gamma,stylized_3.0,JO,global,13.431505522382523,104.47672060345823,64.72242749944648,36.45429310401174,3.300000000000001
P3_gamma,stylized_3.0,JP,national,39.772521758653056,140.92274871349295,89.15045741491481,48.47229129857814,3.2999999999999945
P3_gamma,stylized_3.0,JP,global,14.755942062041196,126.27437046080446,89.07366919355445,33.900701267250014,3.2999999999999945
P3_gamma,stylized_3.0,KE,national,30.237505661594017,100.37672841375476,47.14201837412313,49.934710039631646,3.2999999999999794
P3_gamma,stylized_3.0,KE,global,13.777007153006815,88.64868299573067,47.971222633051724,37.37746036267895,3.2999999999999794
P3_gamma,stylized_3.0,KH,national,33.91483595450515,162.2189957223677,118.4973476610868,40.421648061280905,3.300000000000001
P3_gamma,stylized_3.0,KH,global,14.704808854016518,146.55045941725948,115.2576804706661,27.99277894659337,3.3000000000000007
P3_gamma,stylized_3.0,KR,national,40.77329935958124,158.4438658549076,109.54678165294182,45.59708420196579,3.3000000000000007
P3_gamma,stylized_3.0,KR,global,14.102152162775466,143.1546949462619,107.3926336096799,32.46206133658202,3.300000000000001
P3_gamma,stylized_3.0,KW,national,29.937839301923518,99.16255151773646,49.95141548004698,45.91113603768947,3.3000000000000047
P3_gamma,stylized_3.0,KW,global,13.818621584301416,88.0103168567237,50.339990383974886,34.37032647274883,3.300000000000004
P3_gamma,stylized_3.0,KZ,national,43.36791454658642,143.90973690285304,86.22575439076363,54.38398251208941,3.300000000000015
P3_gamma,stylized_3.0,KZ,global,15.564216568133538,130.83912703296016,85.36321722726652,42.17590980569363,3.300000000000014
P3_gamma,stylized_3.0,LC,national,21.724501133314575,79.57493853527465,39.50488004389155,36.770058491383104,3.3000000000000016
P3_gamma,stylized_3.0,LC,global,11.296960984553204,71.04659033486527,40.20358805957744,27.543002275287837,3.300000000000002
P3_gamma,stylized_3.0,LK,national,28.19427627599504,95.18479158207435,50.739452829384504,41.14533875268984,3.3000000000000203
P3_gamma,stylized_3.0,LK,global,13.14158270069946,85.07169098794098,51.81993695750438,29.951754030436575,3.300000000000018
P3_gamma,stylized_3.0,LY,national,23.781603851756707,87.5042720484832,46.97001761500693,37.23425443347627,3.299999999999997
P3_gamma,stylized_3.0,LY,global,12.053087192248938,79.90893961540458,47.23787175492852,29.371067860476064,3.299999999999998
P3_gamma,stylized_3.0,MA,national,35.72176211643737,119.14156798043246,61.42229886907152,54.41926911136093,3.299999999999996
P3_gamma,stylized_3.0,MA,global,16.295792525397648,107.74950647417745,61.59473524126837,42.85477123290909,3.2999999999999967
P3_gamma,stylized_3.0,MG,national,35.29581742930443,162.46999813339835,120.7260105760215,38.443987557376865,3.3000000000000105
P3_gamma,stylized_3.0,MG,global,11.659957987067582,144.63056651436253,113.4574400690899,27.87312644527263,3.3000000000000087
P3_gamma,stylized_3.0,MM,national,33.91220150496065,152.67082703562417,102.89357094392516,46.47725609169901,3.3000000000000025
P3_gamma,stylized_3.0,MM,global,14.503986626993607,138.78943606792473,101.13267982489424,34.356756243030496,3.3000000000000025
P3_gamma,stylized_3.0,MN,national,28.614932772533486,107.58603157533453,59.9966789399383,44.289352635396234,3.299999999999994
P3_gamma,stylized_3.0,MN,global,13.891073174277501,97.17507256899738,60.73194319306906,33.14312937592832,3.2999999999999945
P3_gamma,stylized_3.0,MR,national,26.339642254046254,97.3088015568897,47.40398420124765,46.60481735564203,3.300000000000015
P3_gamma,stylized_3.0,MR,global,14.821092355132691,90.97403548835074,47.8781632986577,39.79587218969303,3.300000000000014
P3_gamma,stylized_3.0,MU,national,28.252794504599173,102.65946709944801,54.63499419789989,44.72447290154811,3.2999999999999927
P3_gamma,stylized_3.0,MU,global,13.077951302705396,90.39047978773277,55.4703017845756,31.620178003157186,3.2999999999999945
P3_gamma,stylized_3.0,MX,national,24.21032004668306,85.92260342010373,39.91950399397778,42.70309942612593,3.300000000000018
P3_gamma,stylized_3.0,MX,global,12.53710848744331,74.59543226038002,40.53737585772044,30.75805640265957,3.3000000000000176
P3_gamma,stylized_3.0,MY,national,36.807676509999624,247.41330127026453,193.89184629733717,50.22145497292736,3.3000000000000096
P3_gamma,stylized_3.0,MY,global,16.119662065139266,223.02923972118708,183.2608192522186,36.46842046896849,3.30000000000001
P3_gamma,stylized_3.0,NE,national,38.94705513399002,126.45486685023654,67.20059262163309,55.954274228603445,3.3000000000000047
