year,perturbation,storage_scenario,fleet_model,global_storage_bill_busd,ldes_energy_share,fleet_gw,lambda_inf
2029,P2_sharpen,Conservative,growing_low,101.24243449581205,1.0,153.26,0.2724
2029,P2_sharpen,Conservative,growing_central,126.60919349776417,1.0,191.65999999999997,0.2724
2029,P2_sharpen,Conservative,growing_high,170.27436980060364,1.0,257.76,0.2724
2029,P2_sharpen,Central,frozen,96.10878076590782,1.0,191.65999999999997,0.2724
2029,P2_sharpen,Central,growing_low,76.85292570271854,1.0,153.26,0.2724
2029,P2_sharpen,Central,growing_central,96.10878076590782,1.0,191.65999999999997,0.2724
2029,P2_sharpen,Central,growing_high,129.25492711165816,1.0,257.76,0.2724
2029,P2_sharpen,Optimistic,frozen,85.01772159068729,1.0,191.65999999999997,0.2724
2029,P2_sharpen,Optimistic,growing_low,67.98401341432086,1.0,153.26,0.2724
2029,P2_sharpen,Optimistic,growing_central,85.01772159068729,1.0,191.65999999999997,0.2724
2029,P2_sharpen,Optimistic,growing_high,114.33876613385974,1.0,257.76,0.2724
2029,P2_emp,Conservative,frozen,119.55037892130632,1.0,191.65999999999997,0.2724
2029,P2_emp,Conservative,growing_low,95.59788726640618,1.0,153.26,0.2724
2029,P2_emp,Conservative,growing_central,119.55037892130632,1.0,191.65999999999997,0.2724
2029,P2_emp,Conservative,growing_high,160.78110023351726,1.0,257.76,0.2724
2029,P2_emp,Central,frozen,87.69754100334289,1.0,191.65999999999997,0.2724
2029,P2_emp,Central,growing_low,70.12691815805245,1.0,153.26,0.2724
2029,P2_emp,Central,growing_central,87.69754100334289,1.0,191.65999999999997,0.2724
2029,P2_emp,Central,growing_high,117.94280584901215,1.0,257.76,0.2724
2029,P2_emp,Optimistic,frozen,76.1146908513562,1.0,191.65999999999997,0.2724
2029,P2_emp,Optimistic,growing_low,60.864747573196546,1.0,153.26,0.2724
